課別,課程名稱,講師,助教,上課地址,上課位置,起始日期,spike教案
1,SPIKE 五 16:10-17:40 松山,"TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21), TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21)",,,FLB教室,2025年9月12日 16:10 (GMT+8) → 17:40,賽車 (https://www.notion.so/2680a4c0ed848028a5d8fe01d46629cd?pvs=21)
2,SPIKE 五 16:10-17:40 松山,"TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21), TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21)",,,FLB教室,2025年9月19日 16:10 (GMT+8) → 17:40,陀螺發射器 (https://www.notion.so/2680a4c0ed84801ea2cef144c914e1c5?pvs=21)
3,SPIKE 五 16:10-17:40 松山,"TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21), TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21)",,,FLB教室,2025年9月26日 16:10 (GMT+8) → 17:40,兔子 (https://www.notion.so/2680a4c0ed8480ad9a09c396fb257390?pvs=21)
4,SPIKE 五 16:10-17:40 松山,"TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21), TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21)",,,FLB教室,2025年10月3日 16:10 (GMT+8) → 17:40,暴龍 (https://www.notion.so/2680a4c0ed8480cfbea7fcbff6a2f6d7?pvs=21)
5,SPIKE 五 16:10-17:40 松山,"TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21), TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21)",,,FLB教室,2025年10月17日 16:10 (GMT+8) → 17:40,加農砲 (https://www.notion.so/2680a4c0ed84806dab52fb7e73d40b70?pvs=21)
6,SPIKE 五 16:10-17:40 松山,"TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21), TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21)",,,FLB教室,2025年10月31日 16:10 (GMT+8) → 17:40,南瓜馬車 (https://www.notion.so/2680a4c0ed84807b9575d7beebed656f?pvs=21)
7,"SPIKE 五 16:10-17:40 松山 ","TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21), TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21)",,,FLB教室,2025年11月7日 16:10 (GMT+8) → 17:40,日本武士 (https://www.notion.so/2680a4c0ed848066bd64d23b163fd8ba?pvs=21)
8,SPIKE 五 16:10-17:40 松山,"TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21), TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21)",,,FLB教室,2025年11月14日 16:10 (GMT+8) → 17:40,洞棍發射器 (https://www.notion.so/2680a4c0ed84805ca301f0d5e83df98f?pvs=21)
